,Chamber,URN,Majority party,IMG
25,Illinois State Senate,"/Illinois_State_Senate_elections,_2022", Democratic,/File:Electiondot.png
26,Indiana House of Representatives,"/Indiana_House_of_Representatives_elections,_2022", Republican,/File:Ends.png
27,Indiana State Senate,"/Indiana_State_Senate_elections,_2022", Republican,/File:Ends.png
28,Iowa House of Representatives,"/Iowa_House_of_Representatives_elections,_2022", Republican,/File:Ends.png
29,Iowa State Senate,"/Iowa_State_Senate_elections,_2022", Republican,/File:Ends.png
30,Kansas House of Representatives,"/Kansas_House_of_Representatives_elections,_2022", Republican,/File:Ends.png
31,Kentucky House of Representatives,"/Kentucky_House_of_Representatives_elections,_2022", Republican,/File:Ends.png
32,Kentucky State Senate,"/Kentucky_State_Senate_elections,_2022", Republican,/File:Ends.png
33,Maine House of Representatives,"/Maine_House_of_Representatives_elections,_2022", Democratic,/File:Electiondot.png
34,Maine State Senate,"/Maine_State_Senate_elections,_2022", Democratic,/File:Electiondot.png
35,Maryland House of Delegates,"/Maryland_House_of_Delegates_elections,_2022", Democratic,/File:Electiondot.png
36,Maryland State Senate,"/Maryland_State_Senate_elections,_2022", Democratic,/File:Electiondot.png
37,Massachusetts House of Representatives,"/Massachusetts_House_of_Representatives_elections,_2022", Democratic,/File:Electiondot.png
38,Massachusetts State Senate,"/Massachusetts_State_Senate_elections,_2022", Democratic,/File:Electiondot.png
39,Michigan House of Representatives,"/Michigan_House_of_Representatives_elections,_2022", Republican,/File:Ends.png
40,Michigan State Senate,"/Michigan_State_Senate_elections,_2022", Republican,/File:Ends.png
41,Minnesota House of Representatives,"/Minnesota_House_of_Representatives_elections,_2022", Democratic,/File:Electiondot.png
42,Minnesota State Senate,"/Minnesota_State_Senate_elections,_2022", Republican,/File:Ends.png
43,Missouri House of Representatives,"/Missouri_House_of_Representatives_elections,_2022", Republican,/File:Ends.png
44,Missouri State Senate,"/Missouri_State_Senate_elections,_2022", Republican,/File:Ends.png
45,Montana House of Representatives,"/Montana_House_of_Representatives_elections,_2022", Republican,/File:Ends.png
46,Montana State Senate,"/Montana_State_Senate_elections,_2022", Republican,/File:Ends.png
47,Nebraska State Senate,"/Nebraska_State_Senate_elections,_2022", Republican,/File:Ends.png
48,Nevada State Assembly,"/Nevada_State_Assembly_elections,_2022", Democratic,/File:Electiondot.png
49,Nevada State Senate,"/Nevada_State_Senate_elections,_2022", Democratic,/File:Electiondot.png
50,New Hampshire House of Representatives,"/New_Hampshire_House_of_Representatives_elections,_2022", Republican,/File:Ends.png
51,New Hampshire State Senate,"/New_Hampshire_State_Senate_elections,_2022", Republican,/File:Ends.png
52,New Mexico House of Representatives,"/New_Mexico_House_of_Representatives_elections,_2022", Democratic,/File:Electiondot.png
53,New York State Assembly,"/New_York_State_Assembly_elections,_2022", Democratic,/File:Electiondot.png
54,New York State Senate,"/New_York_State_Senate_elections,_2022", Democratic,/File:Electiondot.png
55,North Carolina House of Representatives,"/North_Carolina_House_of_Representatives_elections,_2022", Republican,/File:Ends.png
56,North Carolina State Senate,"/North_Carolina_State_Senate_elections,_2022", Republican,/File:Ends.png
57,North Dakota House of Representatives,"/North_Dakota_House_of_Representatives_elections,_2022", Republican,/File:Ends.png
58,North Dakota State Senate,"/North_Dakota_State_Senate_elections,_2022", Republican,/File:Ends.png
59,Ohio House of Representatives,"/Ohio_House_of_Representatives_elections,_2022", Republican,/File:Ends.png
60,Ohio State Senate,"/Ohio_State_Senate_elections,_2022", Republican,/File:Ends.png
61,Oklahoma House of Representatives,"/Oklahoma_House_of_Representatives_elections,_2022", Republican,/File:Ends.png
62,Oklahoma State Senate,"/Oklahoma_State_Senate_elections,_2022", Republican,/File:Ends.png
63,Oregon House of Representatives,"/Oregon_House_of_Representatives_elections,_2022", Democratic,/File:Electiondot.png
64,Oregon State Senate,"/Oregon_State_Senate_elections,_2022", Democratic,/File:Electiondot.png
65,Pennsylvania House of Representatives,"/Pennsylvania_House_of_Representatives_elections,_2022", Republican,/File:Ends.png
66,Pennsylvania State Senate,"/Pennsylvania_State_Senate_elections,_2022", Republican,/File:Ends.png
67,Rhode Island House of Representatives,"/Rhode_Island_House_of_Representatives_elections,_2022", Democratic,/File:Electiondot.png
68,Rhode Island State Senate,"/Rhode_Island_State_Senate_elections,_2022", Democratic,/File:Electiondot.png
69,South Carolina House of Representatives,"/South_Carolina_House_of_Representatives_elections,_2022", Republican,/File:Ends.png
70,South Dakota House of Representatives,"/South_Dakota_House_of_Representatives_elections,_2022", Republican,/File:Ends.png
71,South Dakota State Senate,"/South_Dakota_State_Senate_elections,_2022", Republican,/File:Ends.png
72,Tennessee House of Representatives,"/Tennessee_House_of_Representatives_elections,_2022", Republican,/File:Ends.png
73,Tennessee State Senate,"/Tennessee_State_Senate_elections,_2022", Republican,/File:Ends.png
74,Texas House of Representatives,"/Texas_House_of_Representatives_elections,_2022", Republican,/File:Ends.png
75,Texas State Senate,"/Texas_State_Senate_elections,_2022", Republican,/File:Ends.png
76,Utah House of Representatives,"/Utah_House_of_Representatives_elections,_2022", Republican,/File:Ends.png
77,Utah State Senate,"/Utah_State_Senate_elections,_2022", Republican,/File:Ends.png
78,Vermont House of Representatives,"/Vermont_House_of_Representatives_elections,_2022", Democratic,/File:Electiondot.png
79,Vermont State Senate,"/Vermont_State_Senate_elections,_2022", Democratic,/File:Electiondot.png
80,Washington House of Representatives,"/Washington_House_of_Representatives_elections,_2022", Democratic,/File:Electiondot.png
81,Washington State Senate,"/Washington_State_Senate_elections,_2022", Democratic,/File:Electiondot.png
82,West Virginia House of Delegates,"/West_Virginia_House_of_Delegates_elections,_2022", Republican,/File:Ends.png
83,West Virginia State Senate,"/West_Virginia_State_Senate_elections,_2022", Republican,/File:Ends.png
84,Wisconsin State Assembly,"/Wisconsin_State_Assembly_elections,_2022", Republican,/File:Ends.png
85,Wisconsin State Senate,"/Wisconsin_State_Senate_elections,_2022", Republican,/File:Ends.png
86,Wyoming House of Representatives,"/Wyoming_House_of_Representatives_elections,_2022", Republican,/File:Ends.png
87,Wyoming State Senate,"/Wyoming_State_Senate_elections,_2022", Republican,/File:Ends.png
